config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__jepa_v1__linear__layer_24,intphys2__jepa_v1__linear__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,42,sheet,complete,voe_accuracy,voe_accuracy,61.589404,67.218543,49.019608,63.235294,50.980392,59.313725,,100,,true,,,results/verified_best_probe_configs.csv,18,intphys_primary_db.xlsx,V-JEPA,N6:X6,seed 42 read from Excel DB
intphys2__jepa_v1__mlp__layer_24,intphys2__jepa_v1__mlp__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,42,sheet,complete,voe_accuracy,voe_accuracy,63.576159,67.880795,56.862745,63.72549,45.098039,63.72549,,100,,true,,,results/verified_best_probe_configs.csv,19,intphys_primary_db.xlsx,V-JEPA,N10:X10,seed 42 read from Excel DB
intphys2__jepa_v2__linear__layer_40,intphys2__jepa_v2__linear__layer_40__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,42,sheet,complete,voe_accuracy,voe_accuracy,60.927152,60.099338,39.215686,57.843137,41.176471,58.823529,,100,,true,,,results/verified_best_probe_configs.csv,21,intphys_primary_db.xlsx,V-JEPA 2,N3:X3,seed 42 read from Excel DB
intphys2__jepa_v2__mlp__layer_40,intphys2__jepa_v2__mlp__layer_40__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,40,Final layer,42,sheet,complete,voe_accuracy,voe_accuracy,100,97.516556,41.176471,64.215686,47.058824,59.313725,,2000,,true,,,results/verified_best_probe_configs.csv,22,intphys_primary_db.xlsx,V-JEPA 2,N7:X7,seed 42 read from Excel DB
intphys2__jepa_v2_1__linear__layer_38,intphys2__jepa_v2_1__linear__layer_38__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,38,Layer 0.75,42,sheet,complete,voe_accuracy,voe_accuracy,48.344371,61.092715,33.333333,55.882353,23.529412,52.941176,,100,,true,,,results/verified_best_probe_configs.csv,24,intphys_primary_db.xlsx,V-JEPA 2.1,AN6:AX6,seed 42 read from Excel DB
intphys2__jepa_v2_1__mlp__layer_38,intphys2__jepa_v2_1__mlp__layer_38__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,42,sheet,complete,voe_accuracy,voe_accuracy,100,99.337748,45.098039,61.764706,39.215686,57.352941,,2000,,true,,,results/verified_best_probe_configs.csv,25,intphys_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,seed 42 read from Excel DB
intphys2__videomae__linear__layer_16,intphys2__videomae__linear__layer_16__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,16,Layer 0.5,42,sheet,complete,voe_accuracy,voe_accuracy,50.993377,65.728477,41.176471,60.784314,35.294118,58.333333,,2000,,true,,,results/verified_best_probe_configs.csv,27,intphys_primary_db.xlsx,VideoMAE,N5:X5,seed 42 read from Excel DB
intphys2__videomae__mlp__layer_24,intphys2__videomae__mlp__layer_24__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,24,Layer 0.75,42,sheet,complete,voe_accuracy,voe_accuracy,100,95.198675,39.215686,64.215686,35.294118,59.803922,,2000,,true,,,results/verified_best_probe_configs.csv,28,intphys_primary_db.xlsx,VideoMAE,N10:X10,seed 42 read from Excel DB
intphys2__videomae_v2__linear__layer_20,intphys2__videomae_v2__linear__layer_20__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,20,Layer 0.5,42,sheet,complete,voe_accuracy,voe_accuracy,96.688742,95.033113,47.058824,63.72549,37.254902,59.313725,,2000,,true,,,results/verified_best_probe_configs.csv,30,intphys_primary_db.xlsx,VideoMAE-v2,AA5:AK5,seed 42 read from Excel DB
intphys2__videomae_v2__mlp__layer_20,intphys2__videomae_v2__mlp__layer_20__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,20,Layer 0.5,42,sheet,complete,voe_accuracy,voe_accuracy,62.251656,76.986755,41.176471,66.176471,47.058824,56.372549,,2000,,true,,,results/verified_best_probe_configs.csv,31,intphys_primary_db.xlsx,VideoMAE-v2,AA9:AK9,seed 42 read from Excel DB
