dataset,experiment,model,backbone,probe,availability,config_source,config_id,best_layer,best_layer_label,recoverable_config,val_primary_metric,val_accuracy,excel_workbook,excel_sheet,excel_range,evidence_path,run_git_commit,notes
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,12,12,layer=12; lr=1e-4,64.706,74.020,intphys_primary_db.xlsx,V-JEPA 2.1,A14:K14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,NO,missing,,9,9,,45.098,52.451,intphys_primary_db.xlsx,V-JEPA 2.1,A5:K5,,,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,NO,missing,,9,9,,45.098,64.216,intphys_primary_db.xlsx,V-JEPA 2.1,A9:K9,,,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,40,40,layer=40; lr=1e-4,64.706,76.471,intphys_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,NO,missing,,20,20,,37.255,60.294,intphys_primary_db.xlsx,V-JEPA 2.1,AA4:AK4,,,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,NO,missing,,30,30,,39.216,63.725,intphys_primary_db.xlsx,V-JEPA 2.1,AA9:AK9,,,no recovered config for the current best row
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,9,9,layer=9; lr=5e-5,54.902,74.020,intphys_primary_db.xlsx,VideoMAE-v2,A13:K13,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,NO,missing,,9,9,,47.059,60.294,intphys_primary_db.xlsx,VideoMAE-v2,A5:K5,,,no recovered config for the current best row
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,NO,missing,,9,9,,50.980,58.333,intphys_primary_db.xlsx,VideoMAE-v2,A9:K9,,,no recovered config for the current best row
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,YES_LR_ONLY,current Excel Selected LR,,38,38,layer=38; lr=1e-5,56.863,65.196,intphys_primary_db.xlsx,LTX-Video,N85:X85,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__ltx_video__linear__slot_34,34,noise_0.2_block_24,lr=0.0082968; weight_decay=1.70746e-08; epochs=100; batch_size=64,45.098,60.294,intphys_primary_db.xlsx,LTX-Video,N36:X36,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,ltx,LTX-Video,LTX-13B,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__ltx_video__mlp__slot_34,34,noise_0.2_block_24,lr=0.00205973; weight_decay=2.78143e-08; dropout=0.385484; hidden_dims=[256]; epochs=1000; batch_size=128,43.137,63.235,intphys_primary_db.xlsx,LTX-Video,N76:X76,output/training/intphys2/mlp/intphys2_ltx_mlp_layers_22604093.out,a890c958a20163dfe126459b1a60212f1152ad18,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,ltx,LTX-Video,LTX-2B,Attentive,YES_LR_ONLY,current Excel Selected LR,,34,34,layer=34; lr=1e-5,21.569,51.471,intphys_primary_db.xlsx,LTX-Video,A83:K83,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,ltx,LTX-Video,LTX-2B,Linear,NO,missing,,14,noise_0.7_block_14,,29.412,55.882,intphys_primary_db.xlsx,LTX-Video,A16:K16,,,no recovered config for the current best row
IntPhys2,ltx,LTX-Video,LTX-2B,MLP,NO,missing,,26,noise_0.4_block_14,,29.412,56.373,intphys_primary_db.xlsx,LTX-Video,A59:K59,,,no recovered config for the current best row
IntPhys2,main,V-JEPA,ViT-H/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,16,16,layer=16; lr=1e-5,66.667,78.922,intphys_primary_db.xlsx,V-JEPA,N12:X12,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,main,V-JEPA,ViT-H/16,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v1__linear__layer_24,Layer 0.75,Layer 0.75,lr=0.00221648; weight_decay=5.99176e-05; epochs=100; batch_size=64,49.020,63.235,intphys_primary_db.xlsx,V-JEPA,N6:X6,output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out,a55c754108a8b6605ec426bb1c010371bd627d81,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA,ViT-H/16,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v1__mlp__layer_24,Layer 0.75,Layer 0.75,lr=0.000461635; weight_decay=0.000555638; dropout=0.155019; hidden_dims=[1024]; epochs=100; batch_size=32,56.863,63.725,intphys_primary_db.xlsx,V-JEPA,N10:X10,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v1_mlp_layers_22594073.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,40,40,layer=40; lr=1e-5,64.706,76.961,intphys_primary_db.xlsx,V-JEPA 2,N14:X14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,main,V-JEPA 2,ViT-G/16,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v2__linear__layer_40,Final layer,Final layer,lr=0.0088989; weight_decay=9.30939e-06; epochs=100; batch_size=64,39.216,57.843,intphys_primary_db.xlsx,V-JEPA 2,N3:X3,output/training/intphys2/linear/intphys2_jepa_v2_linear_layers_22349976.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2,ViT-G/16,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v2__mlp__layer_40,Final layer,Final layer,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,41.176,64.216,intphys_primary_db.xlsx,V-JEPA 2,N7:X7,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v2_mlp_layers_22594076.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,48,48,layer=48; lr=1e-4,60.784,75.490,intphys_primary_db.xlsx,V-JEPA 2.1,AN14:AX14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v2_1__linear__layer_38,Layer 0.75,Layer 0.75,lr=0.0085899; weight_decay=6.91774e-06; epochs=100; batch_size=256,33.333,55.882,intphys_primary_db.xlsx,V-JEPA 2.1,AN6:AX6,output/training/intphys2/linear/intphys2_jepa_v2_1_linear_layers_22349978.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
